,id,text,bias
0,1,"Besides these forests naturally developed forests , there are man made forests too , which are developed artificially over a vast area of land . 
",0
1,2,"Your mother cleans the rice by separating husk , mud particles , in it before cooking . 
",0
2,3,"All free gifts of nature and all things which man cannot produce , are included in land . 
",0
3,4,"Humanism - the concept that man is the measure of all things 
",0
4,5,"Various designs in clothing are found depending on country , time , man , woman and person . 
",0
5,6,"Through the years men developed a variety of textile materials and brought new ideas in clothing . 
",0
6,7,"If there is a noisy environment , the sleep of the baby is hampered which is not good for his health . 
",0
7,8,"There can be no question of the superior profit to the farmer of enclosures rather than open fields. In one case he is in chains; he can make no changes in soil or prices, he is like a horse in team, he must jog along with the rest. 
",0
8,9,"According to Nimcock , a social scientist , on the whole a family is an organisation formed by husband and wife . 
",0
9,10,"The runner should maintain his body balance . 
",0
10,11,"She should make a proper purchasing policy in accordance with the limited resources for fulfilling the basic requirements such as food , clothing and lodging etc . of the family members . 
",0
11,12,"Thus gradually the importance of labour increased , man needed capital for cultivation , setting up factories and for increasing production . 
",0
12,13,"Others can not help him . 
",0
13,14,"Among the students teacher appoints one student as a policeman and ask him to stand little away from the circle . 
",0
14,15,"With the growth of industrialization , technology was pressed into in the service of the common man in Europe . 
",0
15,16,"Door of the Wittenberg church Following the invention of printing press , the Bible reached the common man . 
",0
16,17,"Although the family has difficulty in arranging two meals a day , Ramlakhan manages to buy milk once in a while , but only for his son . 
",0
17,18,"He survives his limitations because of his developed intelligence , does nt he ? 
",0
18,19,"When the raider 's back is towards the corner of the court and defender g. . Simple toe touch g. . Side Kick are covering the corners , the raider suddenly stops his forward movement , bends his knee and kicks straight with other leg side ways . 
",0
19,20,"However , man has for the most part used technology for the good of man . 
",0
20,21,"Man also understood that plants grow better in soil that had been loosened . 
",0
21,22,"But the water useful for plants , animals and man is decreasing day by day . 
",0
22,23,"Iodine can exist as one of three oxides (; ; ). A chemist has produced one of these oxides and wishes to know which one they have. If he started with of iodine and formed of the oxide, which oxide has he produced? 
",0
23,24,"Men build big palatial buildings for living ; they use radio , TV , computer , VCR etc . in increasing number . 
",0
24,25,"From this , he starts forming idea of himself . 
",0
25,26,"The account holder can close his account if he wishes . 
",0
26,27,"Chain catch enables all the players in the cahin to catch hold of the raider when he rushes towords a weak player . 
",0
27,28,"Which is the organism that is the most closely related to man from the evolutionary view point ? 
",0
28,29,"Stereotype: When we believe that people belonging to particular groups based on religion, wealth, language are bound to have certain fixed characteristics or can only do a certain type of work, we create a stereotype. For example, in this chapter, we saw how boys and girls are made to take certain subjects not because he or she has an aptitude for it, but because they are either boys or girls. Stereotypes prevent us from looking at people as unique individuals. 
",0
29,30,"Agriculture for subsistence : Agriculture which helps a farmer to produce agricultural products to meet the bare subsistence of his family is called agriculture for subsistence . 
",0
30,31,"Many times , he is tried by social laws and punished . 
",0
31,32,"We ought to take pledge for extension of education for both male and female . 
",0
32,33,"Flowers are the sexual organs of angiosperms. Many plants have both the male and female reproductive organs in the same flower although some may have male and female structures on different plants all together. 
",0
33,34,"Men of letters and artists , too , began to doubt the essential tenets of the Enlightenment . 
",0
34,35,"But with the change of time and progress of civilization , the economic condition of man changes . 
",0
35,36,"If the blood of an AIDS patient is transfused to a healthy person , he / she will also be infected with AIDS . 
",0
36,37,"Have you observed your mother any time in the kitchen keeping cut potatoes or brinjals in cold water? 
",0
37,38,"For example, nerve cell in both in man and elephant are long and branched. 
",0
38,39,"Therefore men are searching for new sources of energy . 
",0
39,40,"To assist the teacher in various tasks is his main duty . 
",0
40,41,"As his own son 
",0
41,42,"They dreamt of a society where each one did his work according to his ability and the fruits of his labour consumed collectively by all through cooperative societies . 
",0
42,43,"When your father brings vegetables and fruits , you help him to separate them . 
",0
43,44,"A patient receiving dialysis to filter his blood because the kidneys are not working as they should. 
",0
44,45,"Microorganisms Earth provides enough to satisfy everyman 's need , but not every man 's greed . 
",0
45,46,"In order to do this , the second student raises his right hand to take one arm distance from the right marker and the third student takes one arm distance from second student . 
",0
46,47,"Perhaps the making of bricks is one of the earliest crafts known to man ! 
",0
47,48,"Both young boys and girls take part in religious and social functions . 
",0
48,49,"Which sources of water are man - made ? 
",0
49,50,"Now - a - days , due to some socio - economic reasons , the housewives are also engaged in various income generating activities outside her home . 
",0
50,51,"(c) Your friend has been sold a medicine that has crossed the expiry date and you are advising her to lodge a complaint ( ). 
",0
51,52,"So women have to wait long to fetch water or they walk upto km to collect fresh water. 
",0
52,53,"He will hear your voice . 
",0
53,54,"Her mother had prepared carrot halwa for her birthday . 
",0
54,55,"For carrying the process of production ahead , man has been accepted as a resource . 
",0
55,56,"'' What is superior to brute force '' g. . Fishermen 's Net Note : This game can be practised as a lead up game for the game Kabaddi . 
",0
56,57,"Every person has a right to profess, practice and propagate the religion he or she believes in. Every religious group or sect is free to manage its religious affairs. A right to propagate one s religion, however, does not mean that a person has right to compel another person to convert into his religion by means of force, fraud, inducement or allurement. Of course, a person is free to change religion on his or her own will. Freedom to practice religion does not mean that a person can do whatever he wants in the name of religion. For example, one cannot sacrifice animals or human beings as offerings to supernatural forces or gods. Religious practices which treat women as inferior or those that infringe women s freedom are not allowed. For example, one cannot force a widowed woman to shave head or wear white clothes. 
",0
57,58,"Again , if he answers cotton then also he is befooled . 
",0
58,59,"The chaser keeps both his hands outside the center line out of the box without folding his arms . 
",0
59,60,"The runner should keep his head and neck in line with his trunk . 
",0
60,61,"The periphery of man ' s knowledge has extended a lot . 
",0
